Null Values,Null String Values,Duplicate Values,Empty Values,Unique Values,Total Records,Time Taken (seconds)
964,0,3,0,32,999,0.001644134521484375
956,0,0,0,43,999,0.0011439323425292969
966,0,1,0,32,999,0.0011098384857177734
999,0,0,0,0,999,0.0012118816375732422
999,0,0,0,0,999,0.0011191368103027344
999,0,0,0,0,999,0.0013399124145507812
999,0,0,0,0,999,0.0014309883117675781
999,0,0,0,0,999,0.0012359619140625
956,0,18,0,25,999,0.0014731884002685547
956,0,34,0,9,999,0.001262664794921875
959,0,32,0,8,999,0.001584768295288086
956,0,41,0,2,999,0.0013980865478515625
956,0,41,0,2,999,0.0012998580932617188
956,0,41,0,2,999,0.0013751983642578125
956,0,39,0,4,999,0.001371145248413086
961,0,32,0,6,999,0.0018520355224609375
990,0,4,0,5,999,0.001135110855102539
