Null Values,Null String Values,Duplicate Values,Empty Values,Unique Values,Total Records,Time Taken (seconds)
0,0,1200,0,15,1215,0.0020291805267333984
0,0,1134,0,81,1215,0.0013880729675292969
90,0,0,0,1125,1215,0.0012729167938232422
1215,0,0,0,0,1215,0.0012290477752685547
0,0,1212,0,3,1215,0.0015680789947509766
0,0,1214,0,1,1215,0.0014660358428955078
0,0,1214,0,1,1215,0.0014138221740722656
0,0,1214,0,1,1215,0.0014598369598388672
0,0,1214,0,1,1215,0.0024640560150146484
0,0,1210,0,5,1215,0.0014111995697021484
0,0,1214,0,1,1215,0.001519918441772461
0,0,1214,0,1,1215,0.0014941692352294922
0,0,1212,0,3,1215,0.0015101432800292969
1215,0,0,0,0,1215,0.0015010833740234375
